Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Trabajo independiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;;;Afectó mi salud corporal y/o mental;;Colegas eviten las respuestas abiertas, son un culo procesar;Poco interés;Muy interesado;Interesado;Poco interés;Interesado;Interesado;Interesado;Muy interesado;Interesado;;1;24;18;6;1;1;1;1;Magíster;1;Universidad de Chile;Las Condes;San Joaquín;30;Masculino;0;1
Trabajo dependiente remunerado;50;Contrato indefinido;;No entregó nada;;Consultoria de proyectos de ingenieria;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Disminuyeron levemente;0;Insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Alcanzar un cargo de mayor responsabilidad, fortalecer el ámbito de investigación académica;Interesado;Muy interesado;Muy interesado;Indiferente;Muy interesado;Indiferente;Interesado;Muy interesado;Indiferente;Análisis territorial, planificación y gestión urbana;1;10;7;2;0;0;0;1;Magíster;1;Universidad de Concepción;Providencia;Las Condes;33;Femenino;0;0
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Satisfecho;;;;;;;EN MI PEGA LA GENTE ABRIO LOS OJOS FRENTE A UNA REALIDAD Q NO CONOCIAN;;;;;;;NO HE SALIDO DE CASA POR 3 MESES;MM;Poco interés;Interesado;Interesado;Interesado;Indiferente;Poco interés;Poco interés;Interesado;Interesado;MM;0;;;;;;;;Licenciado;1;UNIVERSIDAD DE CONCEPCION;SANTIAGO;MACUL;40;Femenino;0;1
Trabajo dependiente remunerado;50;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Se mantuvieron igual;1;Insatisfecho;Satisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;"Perfeccionamiento
Estudio";Poco interés;Muy interesado;Interesado;Poco interés;Interesado;Indiferente;Interesado;Muy interesado;Interesado;Economía;1;10;18;0;1;1;0;0;Licenciado;1;Universidad Diego Portales;Quilicura;Vitacura;24;Masculino;0;0
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Municipio;;En la calle o vía pública;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;;Solo alternativas negativas?;Todo siguió igual;;;;;;;Servicio público, comunidades, territorios;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Poco interés;Desarrollo territorial u regionalización;1;30;0;5;1;0;0;0;Licenciado;1;Academia de humanismo cristiano;Pichilemu;Pichilemu;31;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Indiferente;Insatisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Trabajar en investigación social aplicada. Doctorado;Poco interés;Muy interesado;Interesado;Nada de Interés.;Muy interesado;Indiferente;Muy interesado;Muy interesado;Poco interés;Estadistica;1;8;12;5;1;1;1;1;Magíster;1;Universidad católica;Huechuraba;Ñuñoa;26;Femenino;0;0
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;económicas- de investigación- cooperación internacional;Muy interesado;Interesado;Muy interesado;Poco interés;Indiferente;Muy interesado;Interesado;Muy interesado;Nada de Interés.;investigación académica;0;;;;;;;;Doctorado;1;U Chile;Las Condes;Santiago;53;Femenino;0;0
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;;;Ganar más por mi valor hora;Interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Nada de Interés.;.;1;15;12;0;1;1;0;1;Magíster;1;PUC;Providencia;Santiago;44;Femenino;0;0
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;Todo siguió igual;;;;;;;"Qué pregunta más rara esta. ¿La idea era poner ""inestabilidad"" ""desafío"" ""oportunidad""?";Interesado;Muy interesado;Interesado;Indiferente;Interesado;Interesado;Interesado;Muy interesado;Interesado;xxx;1;0;0;1;0;0;0;0;Magíster;0;uc;ñuñoa;san joaquin;40;Masculino;0;0
Trabajo dependiente remunerado;35;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;Provocó un bajón anímico;;;;Desarrollo organizacional, investigación y estudios de postgrado;Muy interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Muy interesado;Data analytics;0;;;;;;;;Magíster;1;Universidad de La Frontera;Puyehue;Osorno;30;Femenino;0;1
Trabajo dependiente remunerado;35;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;1;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Género, proyectos sociales, salud;Muy interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Indiferente;Interesado;Generación de evidencia cientifica para la incidencia basada en evidencia;1;15;10;4;1;1;1;1;Licenciado;1;Universidad Alberto Hurtado;Las Condes;Santiago;24;Femenino;0;1
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Insatisfecho;Insatisfecho;;;;;;;Renovó mi activismo Político Social;;;;;;Afectó mi salud corporal y/o mental;;Docente, Investigación, Proyectos;Poco interés;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Doctorado;1;0;6;0;0;0;0;0;Magíster;1;Alberto Hurtado;Ñuñoa;Santiago Centro;35;Masculino;0;0
Trabajo dependiente remunerado;30;Contrato indefinido;;Recibe una liquidación de sueldo;;Administración y Finanzas;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Muy insatisfecho;Muy insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Desarollo de software y tecnologías para la evaluación social de impacto y participativa;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Indiferente;Muy interesado;Interesado;Desarrollo de software para la investigación y la evaluación participativa;1;8;8;1;0;0;0;1;Licenciado;0;Universidad Alberto Hurtado;Santiago Centro;Quinta Normal;26;Masculino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Estabilidad, solvencia economica;Interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Indiferente;Interesado;Interesado;Interesado;Sociologia del delito, criminologia;1;4;0;0;1;1;1;0;Licenciado;1;Universidad de Concepción;San Pedro de la Paz;Ninguna;40;Femenino;0;1
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Insatisfecho;Insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;;Interesado;Muy interesado;Poco interés;Poco interés;Indiferente;Interesado;Indiferente;Interesado;Nada de Interés.;;1;10;5;0;0;0;0;0;Magíster;1;UDP;Iquique;Iquique;35;Masculino;1;
Trabajo independiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy insatisfecho;Insatisfecho;Muy insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;Lograr un trabajo estable en investigación;Muy interesado;Poco interés;Muy interesado;Interesado;Indiferente;Muy interesado;Muy interesado;Interesado;Indiferente;Pandemia;1;12;24;6;1;1;1;1;Magíster;1;Universidad Alberto Hurtado;Santiago;Santiago;30;Masculino;1;
Trabajo independiente remunerado;6;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Aumentaron;0;Insatisfecho;Satisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;Encontré trabajo;;;;;estabilidad y alta remuneración;Interesado;Poco interés;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Nada de Interés.;filosofía;1;16;15;3;1;1;1;1;Magíster;1;Universidad de Valparaíso;Ñuñoa;Ñuñoa;33;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;;Minería;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;;;Afectó mi salud corporal y/o mental;;Minería sustentable;Indiferente;Interesado;Indiferente;Indiferente;Interesado;Interesado;Interesado;Interesado;Interesado;Sustentabilidad;0;;;;;;;;Magíster;1;Universidad Central;Providencia;Las Condes;35;Femenino;0;1
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Investigación, historia y educación;Poco interés;Interesado;Interesado;Indiferente;Interesado;Indiferente;Indiferente;Interesado;Nada de Interés.;;1;9;0;0;1;0;0;0;Licenciado;1;PUC;Puente Alto;Estación Central;37;Femenino;0;0
Trabajo dependiente remunerado;8;Contrato indefinido;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Investigación;Interesado;Muy interesado;Muy interesado;Indiferente;Muy interesado;Indiferente;Interesado;Muy interesado;Indiferente;Gestión estratégica;0;;;;;;;;Licenciado;1;Universidad Diego Portales;Maipú;Ñuñoa;33;Masculino;0;0
Trabajo dependiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Satisfecho;;;;;;;Mejoró todo, me dio un motivo para mi trabajo;;;;;;Afectó mi salud corporal y/o mental;;Pasar a la gran política, coordinar programas o unidades;Interesado;Muy interesado;Muy interesado;Nada de Interés.;Muy interesado;Nada de Interés.;Interesado;Muy interesado;Muy interesado;Política pública;1;6;12;3;1;1;1;1;Licenciado;1;Alberto Hurtado;Peñalolén;Peñalolén;28;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Encontrar trabajo durante el 2020;Indiferente;Muy interesado;;Interesado;Interesado;Interesado;Interesado;Muy interesado;Poco interés;.;1;;;0;0;1;0;1;Licenciado;1;Católica;Las condes;.;25;Masculino;0;0
Venta o negocio;10;Informal (sin formalización de contrato);;No entregó nada;;Venta;En la calle o vía pública;;Se mantuvieron igual;0;Disminuyeron levemente;1;Muy insatisfecho;Satisfecho;Indiferente;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;ONGs, consultoras, fundaciones;Muy interesado;Poco interés;Interesado;Muy interesado;Muy interesado;Indiferente;Interesado;Poco interés;Poco interés;Trabajo comunitario;1;12;7;0;0;1;0;1;Magíster;1;Universidad Alberto Hurtado;Puente Alto;Puente Alto;28;Masculino;0;1
Trabajo dependiente remunerado;45;Contrata plazo fijo;;Recibe una liquidación de sueldo;;Residencia Hospitalaria;En instalaciones regulares del empleador;;Disminuyeron levemente;1;Disminuyeron levemente;1;Muy insatisfecho;Insatisfecho;Muy insatisfecho;;;;;;;Retraso en un mes mi traslado;;Perdí mi trabajo;Encontré trabajo;;Tuvo consecuencias emocionales;;;investigacion;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Indiferente;Planificacion y Analisis Territorial;1;3;2;0;0;0;0;0;Licenciado;1;Central de Chile;Temuco;Temuco;26;Masculino;0;1
Trabajo dependiente remunerado;55;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;Provocó un bajón anímico;;;;Todo siguió igual;;;Provocó un bajón anímico;;;;estabilidad, desarrollo social, desarrollo económico;Interesado;Muy interesado;Indiferente;Poco interés;Interesado;Poco interés;Indiferente;Muy interesado;Nada de Interés.;trabajo interdisciplinario;1;15;2;0;1;0;0;0;Licenciado;1;Alberto Hurtado;Santiago;Santiago;32;Femenino;0;1
Trabajo dependiente remunerado;30;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Paso;Muy interesado;Interesado;Poco interés;Poco interés;Interesado;Poco interés;Poco interés;Poco interés;Poco interés;Género en pandemia, inequidades sociales;1;6;3;0;0;0;0;0;Postdoctorado;0;PUC y University of Warwick;Providencia;Providencia;44;Femenino;1;
Trabajo dependiente remunerado;60;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;enseñar investigar cambio 2022;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;territorio cadenas analisis multivariado país;0;;;;;;;;Postdoctorado;1;UC;Provi;Ñuñoa;77;Masculino;1;
Trabajo dependiente remunerado;3;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;1;Aumentaron levemente;1;Insatisfecho;Muy Satisfecho;Indiferente;Todo siguió igual;;;;;;;Todo siguió igual;;;;Tuvo consecuencias emocionales;;;Programas sociales, Políticas públicas.;Muy interesado;Interesado;Muy interesado;Poco interés;Muy interesado;Poco interés;Indiferente;Indiferente;Poco interés;Formulación de políticas públicas y aplicación de metodologías cualitativas en la evaluación de programas sociales.;1;5;3;2;1;1;0;1;Licenciado;1;Pontificia Universidad Católica de Chile;Ñuñoa;Ñuñoa;27;Masculino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Organización Internacional;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;;;;Provocó un bajón anímico;;;;Todo siguió igual;;;;;;;Impacto social;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Poco interés;Interesado;Interesado;Poco interés;No;1;12;12;3;1;1;1;1;Licenciado;1;PUC;Vivo en el exterior;Vivo en el exterior;27;Masculino;0;0
Trabajo dependiente remunerado;16;Contrato indefinido;;No entregó nada;Municipio;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;1;Satisfecho;Satisfecho;Indiferente;Todo siguió igual;;;Provocó un bajón anímico;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;como proyección pretendo llegar a puestos publicos de coordinación territorial en municipalidades.;Muy interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Indiferente;Indiferente;Poco interés;Nada de Interés.;gestión publica;1;22;13;0;1;0;0;1;Licenciado;1;Universidad Alberto Hurtado;Recoleta;Recoleta;26;Masculino;0;1
Trabajo independiente remunerado;48;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Aumentaron levemente;1;Insatisfecho;Insatisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;terminar mi doctarado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;0;1;100;100;20;1;1;1;1;Magíster;1;UAH;providencia;providencia;35;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;Abrió nuevos espacios y temas de conversación;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Docencia - Investigación - Políticas Públicas;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Indiferente;;1;16;16;5;0;0;0;1;Magíster;1;Pontificia Universidad Católica de Chile;Providencia;Macul;28;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Insatisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;;;;Espero encontrar trabajo en la academia cuando termine la pandemia;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;Poco interés;Nada de Interés.;Poco interés;Muy interesado;Poco interés;Consejos para dedicarse a la investigación en una universidad;1;6;6;0;0;0;0;1;Magíster;1;Universidad Central;Ñuñoa;Ahora ninguna;33;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy Satisfecho;Muy Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Trabajar en los próximos proyectos del Ine, pre censo y censo 2022. Coordinación levantamiento información. Planificación territorial;Poco interés;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Desarrollo local.;1;10;12;1;1;1;1;1;Licenciado;1;Universidad Central;Puente Alto;'-;31;Femenino;0;1
Trabajo independiente remunerado;42;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;No entiendo;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Transformación digital, experiencia de usuarios y diseño de servicios;0;;;;;;;;Licenciado;1;U central;Ñuñoa;Las condes;31;Femenino;0;0
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Aumentaron;1;Aumentaron levemente;0;Satisfecho;Satisfecho;Satisfecho;;;Encontré trabajo;;;;;;;;;Tuvo consecuencias emocionales;;;incertidumbre;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Poco interés;IT;1;2;3;2;1;0;0;0;Magíster;1;Pontificia Universidad Católica de Chile;Puerto Montt;Puerto Montt;35;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Quiero cambiar de trabajo;Interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Nada de Interés.;Investigaciones;1;14;14;4;1;1;1;0;Licenciado;1;Arcis;Maipú;Maipú;64;Femenino;0;1
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Incertidumbre, peecarización;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Nada de Interés.;;1;2;2;0;0;0;0;0;Doctorado;1;Puc;Provi;Provi;40;Masculino;0;0
Trabajo dependiente remunerado;12;Contrata plazo fijo;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Insatisfecho;Satisfecho;Satisfecho;;;;;Trajo conflictos familiares;;;;;;;Tuvo consecuencias emocionales;;;Inserción definitiva en la academia, Dar clases en pre y postgrado y postular a proyectos de investigación;Muy interesado;Poco interés;Poco interés;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Nada de Interés.;Participación política;1;2;35;35;1;1;0;1;Postdoctorado;1;Universidad de Concepción;Las Condes;Santiago;41;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Estudios de mercado;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron levemente;0;Muy Satisfecho;Insatisfecho;Insatisfecho;;;Encontré trabajo;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Mudarme, cambiar de área, no sé;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;Indiferente;Interesado;Poco interés;;1;9;10;0;1;1;0;0;Licenciado;1;Universidad Alberto Hurtado;Santiago;Providencia (cuando no es teletrabajo);27;Femenino;0;1
Trabajo dependiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Medio ambiente y cambio climático;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Economía Circular;1;2;20;6;1;1;1;0;Magíster;1;UAH;Providencia;Santiago;33;Masculino;0;0
