"";"p1.trabajo";"p2.horastrabajo";"p3.contrato";"p4.otrocontrato";"p5.pago";"p6.empleador";"p7.otroempleador";"p8.lugartrabajo";"p9.otrolugartrabajo";"p10.ingresosoctubre";"p11.cambiooctubre";"p12.ingresocovid";"p13.cambiocovid";"p14.satisfaccionlaboral";"p15.satisfaccionsalud";"p16.satisfacciongeneral";"p17.octubre.igual";"p18.octubre.pierdetrabajo";"p19.octubre.encuentratrabajo";"p20.octubre.animo";"p21.octubre.familia";"p22.octubre.salud";"p23.octubre.otro";"p24.covid.igual";"p25.covid.pierdetrabajo";"p26.covid.encuentratrabajo";"p27.covid.animo";"p28.covid.emocional";"p29.covid.salud";"p30.covid.otro";"p31.proyeccionlaboral";"p32.cuali";"p33.cuanti";"p34.gestionpublica";"p35.intervencion";"p36.proyectos";"p37.teoria";"p38.general";"p39.software";"p40.mercado";"p41.otros";"p42.honorarios";"p43.boletas2018";"p44.boletas2019";"p45.boletas2020";"p46.fuenteingreso2018";"p47.fuenteingreso2019";"p48.fuenteingreso2020";"p49.afectohonorarios";"p50.gradoacademico";"p51.titulo";"p52.universidad";"p53.comunaresidencia";"p54.comunatrabajo";"p55.edad";"p56.genero";"p57.asociado";"p58.interescolegiarse"
"671";"Trabajo dependiente remunerado";50;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Buscar un nuevo empleo
Estudiar en el extranjero
Trabajar en política públicas";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Poco";"Indiferente";"Interesado";"Nada";"";"Si";NA;NA;0;"Si";"No";"No";"Si";"Magíster";"Si";"PUC";"Ñuñoa";"Providencia";26;"Femenino";"No";"Si"
"672";"Trabajo dependiente remunerado";44;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"h";"Nada";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Indiferente";"Muy interesado";"Muy interesado";"j";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"puc";"santiago";"las condes";35;"Masculino";"No";"No"
"673";"Trabajo dependiente remunerado";50;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Fortalecimiento de la Asociación gremial y organizaciones de la sociedad civil 
Primavera prometedora 
Legitimación de nuevos procesos políticos";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Indiferente";"Muy interesado";"Muy interesado";"Indiferente";"Poco";"Proceso nueva constitución: refundación de la política";"Si";0;0;1;"No";"No";"No";"No";"Licenciado";"Si";"Universidad de la Frontera";"Coyhaique";"Coyhaique";45;"Femenino";"Si";NA
"674";"Trabajo dependiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Disminuyeron levemente";"No";"Muy insatisfecho";"Insatisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"contrato indefinido, cambio área de trabajo, estabilidad económica";"Indiferente";"Poco";"Interesado";"Interesado";"Interesado";"Poco";"Poco";"Interesado";"Poco";"ninguno";"Si";0;3;3;"No";"Si";"Si";"Si";"Licenciado";"Si";"universidad de concepción";"Iquique";"Iquique";30;"Masculino";"No";"Si"
"675";"Trabajo independiente remunerado";50;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron levemente";"No";"Satisfecho";"Insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"Afecciones múltiples indeterminadas";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Docencia, postular a proyectos de investigación académicos";"Muy interesado";"Poco";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Indiferente";"Indiferente";"Sociología de las profesiones";"Si";0;0;2;"No";"No";"Si";"No";"Doctorado";"Si";"UC";"Stgo";"Stgo";33;"Masculino";"No";"No"
"676";"Trabajo dependiente remunerado";20;"Contrata plazo fijo";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Capacitaciones, interculturalidad y DD.HH.";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Salud, interculturalidad y DD.HH.";"Si";10;9;2;"Si";"Si";"Si";"Si";"Magíster";"Si";"Universidad de Concepción";"Chiguayante";"Chiguayante";38;"Masculino";"No";"Si"
"677";"Trabajo dependiente remunerado";44;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;NA;NA;NA;NA;"Fui feliz";"Todo siguió igual";NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Seguir en una pega de funcionaria pública solo por evitar el riesgo de buscar trabajo por fuera dado el contexto";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Muy interesado";"Muy interesado";"Interesado";"Movimientos y consecuencias humanas dado el cambio climático";"Si";8;8;0;"No";"No";"No";"Si";"Magíster";"Si";"Unap";"Iquique";"Iquique";35;"Femenino";"Si";NA
"678";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Muy Satisfecho";"Indiferente";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"No muy aalentadoras a corto plazo dado la coyuntura nacional e internacional, pero quiza mejore a largo plazo por la necesidad de aprendizaje acerca de las expeeiancias ya mencionadas ennla encuesta";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Indiferente";"Estudios culturales";"Si";0;1;1;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad de Concepcion";"Quinta Normal";"Ninguna";27;"Masculino";"No";"Si"
"679";"Trabajo independiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Investigación";"Muy interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Nada";"";"Si";12;14;5;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad de la Frontera";"Santiago";"Santiago";32;"Femenino";"No";"No"
"680";"Trabajo independiente remunerado";0;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Estudios de mercado";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"Si";"Disminuyeron totalmente";"Si";"Insatisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Encontrar trabajo con contrato";"Poco";"Muy interesado";"Indiferente";"Indiferente";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Lenguaje de programación";"Si";25;30;5;"No";"No";"Si";"Si";"Licenciado";"Si";"Valparaíso";"Puente Alto";"Puente alto";35;"Masculino";"No";"No"
"681";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"independencia
consolidación
fundaciones";"Indiferente";"Muy interesado";"Muy interesado";"Poco";"Interesado";"Poco";"Interesado";"Muy interesado";"Nada";"Trabajo de gestión en fundaciones 
Asesorías y estudios en políticas públicas";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Pontificia Universidad Católica";"Providencia";"Providencia";32;"Femenino";"No";"Si"
"682";"Trabajo independiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Muy Satisfecho";NA;NA;NA;NA;NA;NA;"Alegría";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Investigar estudiar becaa";"Interesado";"Interesado";"Poco";"Interesado";"Poco";"Muy interesado";"Muy interesado";"Interesado";"Poco";"investigación militante";"Si";6;6;8;"Si";"Si";"Si";"No";"Magíster";"Si";"UPLA";"Viña";"Valpo";29;"Masculino";"No";"Si"
"683";"Trabajo dependiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"teletrabajo";"ciencia de información y datos";"Interesado";"Muy interesado";"Poco";"Poco";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"UX";"Si";12;12;4;"Si";"Si";"Si";"Si";"Licenciado";"Si";"unab";"calera de tango";"santiago";27;"Masculino";"No";"Si"
"684";"Trabajo dependiente remunerado";60;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Aumentaron";"No";"Satisfecho";"Satisfecho";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"No tengo muchas proyecciones en este contexto";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Poco";"Muy interesado";"Interesado";"Poco";"Nada";"Investigación";"Si";12;12;0;"Si";"Si";"No";"Si";"Licenciado";"No";"Universidad de Chile";"Santiago";"Santiago";25;"Femenino";"No";"Si"
"685";"Trabajo dependiente remunerado";50;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Ninguna relacionada con la Sociologia, probablemente emprender en un rubro distinto.";"Poco";"Interesado";"Interesado";"Poco";"Interesado";"Nada";"Poco";"Poco";"Poco";".";"Si";10;3;0;"No";"No";"No";"No";"Magíster";"Si";"Diego Portales";"Las Condes";"Santiago";36;"Masculino";"No";"No"
"686";"Trabajo dependiente remunerado";40;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Escalar puestos y adquirir responsabilidades mayores";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Muy interesado";"Interesado";"Interesado";"Poco";"Política, economía, estudios urbanos, sostenibilidad y protección del medioambiente";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"PUC";"Estación Central";"Santiago";31;"Masculino";"No";"Si"
"687";"Trabajo dependiente remunerado";60;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Aumentaron";"No";"Muy Satisfecho";"Muy Satisfecho";"Indiferente";NA;NA;NA;"Provocó un bajón anímico";"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Ya no me dedico a la Sociología, me estoy desempeñando en el área de la epidemioligia";"Muy interesado";"Muy interesado";"Nada";"Indiferente";"Indiferente";"Nada";"Nada";"Muy interesado";"Nada";"Epidemiologia, Sociología de la salud y nutricion";"Si";17;18;3;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Puc";"Providencia";"Santiago";28;"Masculino";"No";"Si"
"688";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";NA;"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"nuevos proyectos, desafíos";"Poco";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Indiferente";"Interesado";"Muy interesado";"Interesado";"";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"La Frontera";"Coyhaique";"En toda la región de Aysén, físicamente un poco más en Coyhaique, pero mucho en terreno";44;"Femenino";"Si";NA
"689";"Trabajo dependiente remunerado";45;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Valorar residuo base datos";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Indiferente";"Muy interesado";"Interesado";"No";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Arcis";"Santiago";"Santiago";49;"Femenino";"No";"No"
"690";"Trabajo dependiente remunerado";40;"Contrata plazo fijo";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Aumentaron";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;"Encontré trabajo";NA;NA;NA;"";"Trabajo independiente, Asesoría, proyectos sociales";"Nada";"Muy interesado";"Indiferente";"Nada";"Muy interesado";"Indiferente";"Indiferente";"Muy interesado";"Nada";"Inglés";"Si";0;0;3;"No";"No";"Si";"No";"Licenciado";"No";"Universidad de Concepción";"Temuco";"Santiago";45;"Masculino";"No";"No"
"691";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"Si";"Se mantuvieron igual";"Si";"Insatisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Trabajo de asesoramiento metodológico para estudiantes pregrado, elaboración de informes, análisis de datos mediante ordenador.( trabajo informal)";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Excel, análisis de datos geográficos etc";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"No";"Actualmente soy prácticante de Sociologia UC Temuco.";"Temuco, IX Región";"Temuco";24;"Masculino";"No";"Si"
"692";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron levemente";"Si";"Disminuyeron levemente";"Si";"Insatisfecho";"Muy insatisfecho";"Satisfecho";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Trabajo";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Indiferente";"Poco";"Poco";"Social";"Si";12;3;0;"Si";"Si";"No";"Si";"Licenciado";"Si";"Central";"Santiago";"Ninguna";32;"Femenino";"No";"No"
"693";"Trabajo dependiente remunerado";44;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Indiferente";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;"Trajo conflictos familiares";NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"incertidumbre.";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Indiferente";"Muy interesado";"Interesado";"Muy interesado";"Nada";"";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"PUC";"Macul";"santiago";33;"Masculino";"No";"No"
"694";"Trabajo dependiente remunerado";35;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Cambio Disciplina: Explorar la Geografía";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Poco";"Interesado";"Muy interesado";"Nada";"";"Si";14;6;0;"Si";"No";"No";"Si";"Licenciado";"Si";"PUC";"ÑUÑOA";"PROVIDENCIA";30;"Masculino";"No";"No"
"695";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"INVESTIGACIÓN";"Interesado";"Muy interesado";"Indiferente";"Poco";"Indiferente";"Poco";"Interesado";"Muy interesado";"Poco";"DEPORTES";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"UNIVERSIDAD DE LA FRONTERA";"SANTIAGO";"SANTIAGO";33;"Masculino";"No";"Si"
"696";"Trabajo independiente remunerado";25;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";NA;NA;"";"Encontrar trabajo más estable";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Poco";"Interesado";"Muy interesado";"Nada";"Divulgación científica, medios de comunicación";"Si";10;17;3;"Si";"Si";"No";"Si";"Magíster";"Si";"Pontificia Universidad Católica de Chile";"Santiago";"Santiago";34;"Femenino";"No";"Si"
"697";"Trabajo dependiente remunerado";50;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"realizar estudios, realizar docencia/capacitación, realizar talleres comunitarios";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Muy interesado";"Nada";"metodologías de innovación social, outcome maping, evaluación de políticas públicas. Teoría en Cs Sociales (interdisciplinaria, no sólo sociológica) y ETICA en la profesión e investigación";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"Universidad de Chile";"Coyhaique";"Coyhaique";46;"Femenino";"Si";NA
"698";"Trabajo dependiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;NA;NA;NA;NA;"Me siento más involucrada con la sociedad";NA;NA;NA;NA;NA;NA;"Tengo más tiempo para enfocarme en mis prioridades";"Feminismo. Políticas Públicas. Migraciones.";"Muy interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Indiferente";"";"Si";15;12;4;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad de La Frontera";"Temuco";"Temuco";26;"Femenino";"No";"Si"
"699";"Trabajo independiente remunerado";10;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Inseguridad e incertidumbre";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Indiferente";"vínculo sociología con otras disciplinas";"Si";10;18;4;"Si";"Si";"Si";"Si";"Magíster";"Si";"U. Academia de HUmanismo Cristiano";"Puente Alto";"Providencia";39;"Masculino";"No";"Si"
"700";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"Si";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Satisfecho";"Muy insatisfecho";NA;"Perdí mi trabajo";NA;NA;"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Poco";"Interesado";"Interesado";"Indiferente";"Sociología de la salud y sociología de género";"Si";3;0;0;"Si";"No";"No";"No";"Licenciado";"Si";"Universidad de Valparaíso";"Viña del Mar";"Sin trabajo";31;"Femenino";"No";"Si"
"701";"Trabajo independiente remunerado";48;"Contrato a honorarios";"";"No entregó nada";NA;"ANID";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Aumentaron";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Estabilidad y beneficios";"Muy interesado";"Interesado";"Interesado";"Poco";"Indiferente";"Poco";"Interesado";"Interesado";"Nada";"Sociología urbana";"Si";30;40;16;"Si";"Si";"No";"Si";"Magíster";"Si";"Universidad Alberto Hurtado";"Santiago";"Santiago";32;"Femenino";"No";"Si"
"702";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Satisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";"";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Poco";"Muy interesado";"Muy interesado";"Interesado";"";"Si";8;12;5;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Universidad Arturo Prat";"Iquique";"Iquique";24;"Femenino";"No";"Si"
"703";"Trabajo dependiente remunerado";20;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Muy Satisfecho";NA;NA;NA;NA;NA;NA;"Ilusión y nuevos ánimos";NA;NA;NA;NA;NA;NA;"(Re)Descubrí la dicha doméstica";"Expandir, cambiar, crecer";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Nada";"Diseños participativos";"Si";15;35;6;"Si";"Si";"Si";"Si";"Licenciado";"Si";"PUC";"Peñalolén";"Santiago";36;"Masculino";"No";"No"
"704";"Trabajo dependiente remunerado";55;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Mejorar remuneraciones, poder seguir estudiando posgrado o doctorado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Indiferente";"Indiferente";"Muy interesado";"Interesado";"Desarrollo de competencias tanto profesionales, laboral o mundo comunitario";"Si";10;12;2;"No";"No";"No";"Si";"Magíster";"Si";"Universidad Arturo Prat";"Iquique";"Iquique";45;"Masculino";"No";"No"
"705";"Trabajo dependiente remunerado";40;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"Si";"Disminuyeron levemente";"No";"Muy insatisfecho";"Satisfecho";"Satisfecho";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"metodología territorio profesionales";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"no";"Si";30;30;3;"No";"No";"Si";"Si";"Doctorado";"Si";"u chile";"la reina";"santiago";53;"Femenino";"Si";NA
